Reaction	Direction	Expression
rxn02201_c0	1	0.8971680153892276
rxn00351_c0	1	0.7659422544230996
rxn00836_c0	1	0.4682008978045187
rxn02209_c0	1	0.6428228157940937
rxn02209_c0	-1	0.8351343158984001
rxn00390_c0	1	0.4293671419340701
rxn00390_c0	-1	0.9597797399462125
rxn08180_c0	1	0.9952164265163603
rxn05318_c0	1	0.6662552566810832
rxn05318_c0	-1	0.7126233795968625
rxn01094_c0	1	0.997736815565145
rxn08709_c0	1	0.8919305332064709
rxn08709_c0	-1	0.5684076135561718
rxn11567_c0	1	0.013538253810335021
rxn11567_c0	-1	0.9052420842195849
rxn00423_c0	1	0.9633661158797068
rxn00364_c0	1	0.9422951698339912
rxn00364_c0	-1	0.2883534426306874
rxn05561_c0	1	0.2638868725679143
rxn05561_c0	-1	0.35137316885417136
rxn03408_c0	1	0.12782899897342026
rxn03408_c0	-1	0.8929578865582004
rxn02177_c0	1	0.9866131641933737
rxn05250_c0	1	0.7529985409419402
rxn00646_c0	1	0.17986552742748974
rxn05440_c0	1	0.6122395000457447
rxn00935_c0	1	0.7276034693335899
rxn00935_c0	-1	0.46474603225701294
rxn01673_c0	1	0.008752686238382323
rxn01673_c0	-1	0.9029769790758891
rxn00247_c0	1	0.37647660481993794
rxn02342_c0	1	0.10169547850843152
rxn02342_c0	-1	0.02023606523993393
rxn10311_c0	1	0.9313569044482279
rxn10311_c0	-1	0.22886071935874452
rxn00642_c0	1	0.8621169275142585
rxn00022_c0	1	0.4996287776157464
rxn00973_c0	1	0.07311538762448377
rxn00973_c0	-1	0.0513916514996533
rxn02000_c0	1	0.4357547667442694
rxn02000_c0	-1	0.3767500544915906
rxn03239_c0	1	0.16246762629370415
rxn03239_c0	-1	0.6664114770792637
rxn03120_c0	1	0.9127462701911496
rxn03120_c0	-1	0.6809894175897194
rxn11962_c0	1	0.9254026918248704
rxn11962_c0	-1	0.8701182041469923
rxn00322_c0	1	0.34017724770637736
rxn05063_c0	1	0.9499543710424755
rxn05457_c0	1	0.7135850478996728
rxn05457_c0	-1	0.46764461570040483
rxn04271_c0	1	0.894567474065136
rxn04271_c0	-1	0.09051177389832321
rxn13783_c0	1	0.8670183263350496
rxn10118_c0	1	0.9595203366304024
rxn05392_c0	1	0.991116995683274
rxn12008_c0	1	0.7076341823821355
rxn04600_c0	1	0.7767909710295855
rxn04600_c0	-1	0.9461985164744506
rxn04070_c0	1	0.03433367408663224
rxn00199_c0	1	0.7143138266977342
rxn01358_c0	1	0.9936372656814499
rxn01358_c0	-1	0.630803974457026
rxn10231_c0	1	0.9297013540453696
rxn02944_c0	1	0.11490906242728116
rxn02944_c0	-1	0.5337115814746689
rxn01867_c0	1	0.8949873456798974
rxn10270_c0	1	0.9223373771750616
rxn12637_c0	1	0.21463927854631892
rxn12637_c0	-1	0.8698875232454923
rxn03046_c0	1	0.2987455844903276
rxn03046_c0	-1	0.8061266215805627
rxn09240_c0	1	0.14954584285118477
rxn09240_c0	-1	0.9650580001980908
rxn01219_c0	1	0.01229598402566956
rxn01219_c0	-1	0.05560902524863254
rxn05958_c0	1	0.5540880655360771
rxn00519_c0	1	0.10332569932962066
rxn00519_c0	-1	0.12656758682457414
rxn00258_c0	1	0.9729360376779032
rxn00258_c0	-1	0.3876455250508102
rxn00800_c0	1	0.20563839543581264
rxn00800_c0	-1	0.008600087876753593
rxn01705_c0	1	0.5135008609429318
rxn01705_c0	-1	0.42654829797340643
rxn09177_c0	1	0.778336831853466
rxn00211_c0	1	0.3691171712408805
rxn00211_c0	-1	0.056386138302080835
rxn00179_c0	1	0.6948596583331382
rxn00179_c0	-1	0.6362472480657643
rxn01210_c0	1	0.49176766111480297
