Reaction	Direction	Expression
rxn02201_c0	1	0.048536556657058694
rxn00351_c0	1	0.4894629808194769
rxn00836_c0	1	0.5632581901578159
rxn02209_c0	1	0.45584513383350755
rxn02209_c0	-1	0.06351483092975163
rxn00390_c0	1	0.25413600399338065
rxn00390_c0	-1	0.34674449059822665
rxn08180_c0	1	0.6799687256074813
rxn05318_c0	1	0.9069477887885214
rxn05318_c0	-1	0.8355341396112418
rxn01094_c0	1	0.7038352677112764
rxn08709_c0	1	0.7878559916325856
rxn08709_c0	-1	0.9567751135592254
rxn11567_c0	1	0.9142925063302494
rxn11567_c0	-1	0.7402904385692555
rxn00423_c0	1	0.4710709477009509
rxn00364_c0	1	0.806479291056367
rxn00364_c0	-1	0.5047419388867559
rxn05561_c0	1	0.6322443795204507
rxn05561_c0	-1	0.9751316736751162
rxn03408_c0	1	0.9522235370611674
rxn03408_c0	-1	0.864837702991533
rxn02177_c0	1	0.7740339052627727
rxn05250_c0	1	0.7483463175889771
rxn00646_c0	1	0.12873315291008713
rxn05440_c0	1	0.3078608494988593
rxn00935_c0	1	0.14973622135302922
rxn00935_c0	-1	0.27795970587816343
rxn01673_c0	1	0.826910340402353
rxn01673_c0	-1	0.33291479002799695
rxn00247_c0	1	0.29392586863798187
rxn02342_c0	1	0.19518322558597234
rxn02342_c0	-1	0.3865229264929293
rxn10311_c0	1	0.3281537643997504
rxn10311_c0	-1	0.5831366202964456
rxn00642_c0	1	0.7082213169876376
rxn00022_c0	1	0.198910008140196
rxn00973_c0	1	0.4688441358518781
rxn00973_c0	-1	0.7567399403120995
rxn02000_c0	1	0.43119562839490433
rxn02000_c0	-1	0.9774986519466667
rxn03239_c0	1	0.331773431079164
rxn03239_c0	-1	0.5044291700040188
rxn03120_c0	1	0.7169077202405363
rxn03120_c0	-1	0.7580273345115545
rxn11962_c0	1	0.17818596222436078
rxn11962_c0	-1	0.6772245749533514
rxn00322_c0	1	0.6726701379628162
rxn05063_c0	1	0.27572340027567444
rxn05457_c0	1	0.8193381144551837
rxn05457_c0	-1	0.17989096365186996
rxn04271_c0	1	0.14097453717832187
rxn04271_c0	-1	0.6332835781925195
rxn13783_c0	1	0.4719304788629084
rxn10118_c0	1	0.8848865728451204
rxn05392_c0	1	0.06055468287397503
rxn12008_c0	1	0.7213577619439585
rxn04600_c0	1	0.035087762394806266
rxn04600_c0	-1	0.9714378574368824
rxn04070_c0	1	0.7884412737445179
rxn00199_c0	1	0.6823383554545183
rxn01358_c0	1	0.7762218127634376
rxn01358_c0	-1	0.9380621091484755
rxn10231_c0	1	0.15989482726193371
rxn02944_c0	1	0.8186084448831789
rxn02944_c0	-1	0.5000271136794432
rxn01867_c0	1	0.16283549255499596
rxn10270_c0	1	0.29064119790297194
rxn12637_c0	1	0.7380040705567658
rxn12637_c0	-1	0.8930217641332315
rxn03046_c0	1	0.2929316910283808
rxn03046_c0	-1	0.3846242531795864
rxn09240_c0	1	0.20209738773357344
rxn09240_c0	-1	0.8854617896244759
rxn01219_c0	1	0.9334321136093313
rxn01219_c0	-1	0.10052868537206028
rxn05958_c0	1	0.09700871736491257
rxn00519_c0	1	0.5531197523813224
rxn00519_c0	-1	0.07513520911558846
rxn00258_c0	1	0.3516152604405046
rxn00258_c0	-1	0.18180751474291945
rxn00800_c0	1	0.2933336676070185
rxn00800_c0	-1	0.45206988077401544
rxn01705_c0	1	0.7659497626908913
rxn01705_c0	-1	0.7861635306609595
rxn09177_c0	1	0.7528953193383642
rxn00211_c0	1	0.5516432386003521
rxn00211_c0	-1	0.41789600593747345
rxn00179_c0	1	0.426761232671636
rxn00179_c0	-1	0.2597619874929403
rxn01210_c0	1	0.3138304975963636
rxn05162_c0	1	0.8567824150238837
rxn00730_c0	1	0.39109168621273294
rxn00730_c0	-1	0.31623918807427853
rxn00192_c0	1	0.6505411215084176
rxn01218_c0	1	0.904940418407899
rxn05367_c0	1	0.6975883400215467
rxn03360_c0	1	0.048196034731881165
rxn03360_c0	-1	0.792271486684842
rxn00509_c0	1	0.1748526486900971
rxn02898_c0	1	0.48267417789070455
rxn05654_c0	1	0.37303935624440365
rxn05654_c0	-1	0.12638166508045845
rxn01199_c0	1	0.7639369816607858
